original_filename,title,instructions,ingredients
IMG_1271.JPG,Greek Mushroom Ragù & Olive Oil Mash,"1. Peel , halve and finely slice the onion . Peel and finely chop the garlic . Slice the mushrooms ( 1 cm ) . Halve the olives .
2. Boil a kettle . Peel and chop the potatoes into 2-3cm chunks . Transfer the potatoes to a medium saucepan . Add 2 good pinches of salt . Cover well with boiled water . Bring to a low boil . Cook for 8-10 mins , until tender , while you continue .
3. Heat 2 tbsp of oil in a large frying pan . Gently fry the onion
for 5 mins , stirring now and then . Increase the heat , add the
mushrooms and cook for 4 mins , until starting to soften .
4. Drain the cooked potatoes , then transfer them back to their
saucepan . Set aside for now . Drain and rinse the lentils .
5. Stir the garlic and Greek spice pot into the mushrooms .
Pour in the wine . Let it bubble and reduce by 1/2 . Add the lentils and passata . Fill the empty passata pot with water . Add that . Season . Bring to a low - medium boil . Cook for 5 míns . Stir often and keep an eye on the liquid - you don't want ' it too sloppy but add a splash more water if needed .
6 . Roughly chop the parsley leaves .
7. Mash the potatoes with 2 tbsp of olive oil . Season to taste . Gently reheat while you stir the spinach into the mushroom pan in handfuls , until wilted , 1-2 mins .
8. Check the mushroom seasoning . Stir in 1/2 the parsley and add a squeeze of lemon juice to taste . Serve with the mash , sprinkled with remaining parsley .","Ingredients
1 red onion
2 garlic cloves
200g portobello mushrooms
60g green olives
500g potatoes
1 tin dark green lentils
1 Greek spice pot
100ml red wine
200ml passata
15g parsley
200g spinach
1 lemon"
IMG_1270.JPG,Mushroom Risotto Stuffed Squash,"1. Boil a kettle . Heat your oven to 190 ° C / Gas 5. Trim and halve the leek , lengthways ; thinly shred . Finely chop the rosemary leaves . Put the dried mushroom in a heatproof bowl or mug .
Cover with boiled water and set aside .
2. Heat 2 tbsp of oil in a large pan . Gently stir - fry the leek and rosemary for 10 mins while you continue .
3. Halve the squash , lengthways . Scoop out the seeds . In a roasting tin , drizzle the cut sides of squash with oil , season ,
and place , cut - side down , in the tin . Roast for approx . 35-40
mins , until tender ( depending on the size of your squash ) .
4. Place the bouillon and miso in a medium pan . Add 1 litre of
( warm ) water from the kettle . Place on a low heat on the hob .
Peel and finely chop the garlic . Thinly slice the mushrooms .
5. Stir the garlic and rice into the leek , until the rice grains look
translucent ( approx . 1-2 mins ) . Add the wine and let it bubble
and reduce . Roughly chop the soaked dried mushrooms .
Add to the rice together with all but the last gritty bit of
soaking liquor and the fresh mushrooms .
6. Gradually add ladles of miso stock , allowing each to reduce , until the rice is tender ( approx . 25 mins ) , while you continue .
7. Chop the radicchio through the root into 4-6 wedges . Strip 1 good tbsp of thyme leaves . Toss the radicchio in a bowl in oil to coat . Stir in the thyme leaves . Season .
8. Roughly chop the hazelnuts . When the risotto and squash are almost ready , fry the radicchio for a few mins on each side , until it starts to colour . Sprinkle a little chilli over the squash ( optional ) and fill with the risotto . Serve with the radicchio , sprinkled with a little vinegar and the hazelnuts .","Ingredients
1 leek
10g rosemary
5g dried mushrooms
1 spaghetti squash
2 x 1/2 tbsp bouillon powder
1 tbsp brown rice miso
2 garlic cloves
200g mushrooms
150g risotto rice
100ml white wine
1 head radicchio
10g thyme
50g whole toasted hazelnuts
1/4 tsp dried chilli flakes -
optional
1 tbsp balsamic vinegar"
IMG_1268.JPG,Nasi Goreng with Peanuts & Sriracha,"1. Boil a kettle .
2. Using about a third of the cucumber ,
halve it lengthways , then slice into thin
half - moon shapes . Mix it in a bowl
with the vinegar and sugar . Set aside .
Give it a mix now and then .
3. Rinse the rice in a sieve under cold
water , until the water runs clear .
Transfer it to a medium saucepan with
a pinch of salt . Add plenty of boiled
water and cook for 18-20 minutes , while
you continue , until just tender with a
little bite .
4. Shred a couple of handfuls of cabbage .
Trim and thinly slice the spring
onions , including the green parts .
5. Peel and coarsely grate the carrot ( s ) .
Chop the coriander , stalks and all .
Roughly chop the peanuts .
6. In a large frying pan , toast the
Deanuts for 2-3 minutes , then transfer
to a plate .
7. Heat 1/2 tbsp of oil in the same frying pan . Fry half the spring onions ( reserving the green tops to garnish ) with the cabbage , ground ginger and half the chilli flakes for 2-3
minutes , to soften them all slightly ( see tip ) . Season and add a squeeze of lime to taste , then transfer to a plate and
cover with another upside - down plate
to keep it warm .
8. Wipe the frying pan clean , then heat
1/2 tbsp of oil . Fry the eggs for 2-3
minutes , to your liking - we like a runny
yolk !
9. Drain the cooked rice . Serve with the
stir - fried veg , grated carrot , pickled
cucumber , and an egg on top .
10. Drizzle over some sriracha to
your liking , then scatter over the
peanuts , reserved spring onion tops ,
coriander and more chilli flakes
too , if you like . Add extra wedges of
lime , if you like .","Ingredients
1/3 cucumber
1 tbsp rice vinegar
1 tbsp light brown sugar
150g brown basmati rice
1 pointed cabbage
1 bunch spring onions
1 large or 2 smaller carrots
1 bag coriander
30g peanuts
¹ / 2 tsp ground ginger
1/4 tsp chilli flakes
1 lime
2 eggs
2 packs sriracha"
IMG_1269.JPG,Teriyaki Mushroom Rice & Asian Slaw,"1. Boil a kettle . Rinse the rice in a sieve . Transfer it to a medium saucepan . Add plenty of boiled water and a good couple of pinches of salt . Bring to the boil and cook for 20 mins ,
until tender with a little bite .
2. Peel and finely slice the onion ; place 1/2 in a large bowl . Peel and coarsely grate the carrot ; add it to the bowl . Finely shred 2 handfuls of cabbage ; add that , too . Add the sweet chilli sauce , a pinch of chilli flakes ( to your taste ) , and a little lime
juice . Season . Set aside . This is your slaw .
3. Thinly slice the mushrooms . Chop the coriander , stalks and
all .
4. In a large dry frying pan , heat the cashews on a medium
low heat for 3-4 mins , stirring regularly , until light golden and
toasted . Transfer to your board and give them a rough chop .
5. Heat 2 tbsp of oil in the same frying pan . Stir - fry the mushrooms and remaining onion on a medium - high heat for 4 mins . Add the teriyaki sauce , mirin , and 1/2 the tam Let it bubble and reduce slightly , approx . 30 secs - 1 min .
Remove the pan from the heat .
6. Drain the cooked rice into a sieve . Use a spoon to press out as much excess water as you can . Stir it into the mushrooms with the toasted sesame oil . Add more tamari , to taste . Season ( don't overdo the salt , as the tamari is already salty ) .
7 . Mix the coriander into the slaw . Check the seasoning .
8. Serve the mushroom rice topped with cashews , with the slaw and extra wedges of remaining lime on the side ., approx .","Ingredients
150g brown basmati rice
1 red onion
1 carrot
1 red cabbage
1 pack sweet chilli sauce
1/4 tsp chilli flakes
lime
400g mushrooms
15g coriander
25g cashews
50ml teriyaki sauce
1 tbsp mirin
2 tbsp tamari
1 tbsp toasted sesame oil"
IMG_1266.JPG,Greek Pasticcio & Roasted Vegetables,"1. Put a large saucepan of well - salted water on to boil . Peel and finely dice 1 onion . Heat 2 tbsp of oil in a medium saucepan . Start gently frying the onion , while you continue .
2. Strip off and finely chop the rosemary leaves . Add to the onion and fry for a further 5 mins , while you finely dice the mushrooms and peel and finely chop the garlic .
3. Heat your oven to 190 ° C / Gas 5. Stir the mushrooms and garlic into the onion . Season . Cook on a low - medium heat for 5-6 mins , until the mushrooms have softened .
4. Toast the walnuts in a dry frying pan for 3-4 mins . Chop them quite finely ( about the size of the chopped hazelnuts ) .
5. Stir the flour into the mushroom mix . Cook for 2 mins , then
stir in the Worcester sauce , cinnamon , passata , soy cream
and 3 tbsp of water . Simmer for 4-5 mins , then remove from
the heat and season to taste .
6. Boil the penne for 8 mins , until partly cooked , then drain .
While the pasta cooks , deseed and chop the peppers and
courgette into chunks . Peel the remaining onion and chop
into wedges . Halve the olives . Toss the the veg and olives
with the tomatoes in a roasting tin , in oil to coat . Season .
Roast on the top oven shelf for 25-30 mins , tossing it halfway .
7. Meanwhile , drain the penne and mix with the walnuts and
hazelnuts into the mushroom sauce . Season . Tip it all into
a lightly oiled baking dish . Bake on the lower oven shelf for
approx . 20 mins , until the penne is fully cooked and the
mixture thickened and starting to crisp on top .
8. Shred the mint . Check the veg seasoning . Add a squeeze of lemon to taste . Serve with the bake , sprinkled with mint .","Ingredients
2 red onions
10g rosemary
150g mushrooms
1 garlic clove
50g walnuts
25g chopped toasted hazelnuts
10g plain flour
1 tsp Worcester sauce
200g passata
1 pack soy cream
1/4 tsp ground cinnamon
175g penne pasta
1 red pepper
1 yellow pepper
1 courgette
125g cherry tomatoes
30g olives - check for stones
15g mint
1 lemon"
IMG_1265.JPG,Mushroom & kabocha Squash Pie,"1. Preheat your oven to 190 ° C / Gas 5. Halve the squash . Remove the seeds . Lay the halves cut - side up in a roasting tin . Drizzle with oil and season . Turn cut - side down and roast for turn it over you approx . 40 mins , until the flesh is tender when and pierce with a sharp knife , and the cut sides are starting to caramelise . Start checking after 30-35 mins , as they vary a
little in size .
2. Halve the leek , lengthways . Thinly shred ( 1 cm ) . Wash it well , to remove any grit . Slice the mushrooms ( 1cm ) . Heat 1 tbsp of oil in a large frying pan . Gently cook the leek for 5 mins , stirring often , while you pick off 1 good tbsp of thyme leaves .
3. Stir the mushrooms , thyme and a splash more oil ( if needed ) into the leek . Turn up the heat a little . Stir - fry for 2 mins . Stir
in the flour and cook for a further 2 mins .
4. Stir in the Worcester sauce , miso and tomato purée . Add
the wine and let it bubble and reduce by 1/2 ( it will start to
thicken ) . Refill the wine bottle with water , add that . Let it all
gently simmer for 5 mins , then transfer it to a small baking
dish and set aside .
5. Remove the cooked squash from the oven . Scoop the flesh
out , into a bowl , and coarsely mash it with a fork . Season , to
taste , then roughly spread it over the mushroom mixture .
Sprinkle over the pumpkin seeds . Bake for 10 mins .
6 . Strip the kale leaves off their stalks . Roughly chop the leaves . Peel and finely chop the garlic .
7. Heat 1 tbsp of oil in a medium saucepan , to a medium - low heat . Stir the kale and garlic for 3-4 mins , until the kale has wilted . Season and add a little squeeze of lemon juice , to taste . Serve with the pie .","Ingredients
1 kabocha squash
1 leek
400g mushrooms
15g thyme
10g plain flour
1 tbsp Worcester sauce
1 tbsp brown rice miso
1 tbsp tomato purée
100ml red wine
2 tbsp pumpkin seeds
200g curly kale
1 garlic clove
1 lemon"
IMG_1267.JPG,Sesame Rice with Teriyaki Mushrooms,"1. Boil a kettle . Slice the chestnut mushrooms . Halve the
shiitake mushrooms , or quarter if large . Keep both types of
mushrooms separate .
2. Rinse the rice in a sieve , until the water runs clear . Put into a medium saucepan ( one with a tight fitting lid ) . Add a pinch of salt and 400ml of boiled water . Simmer for 10 mins , stirring
now and then ( keep an eye on then liquid ; you want it to
absorb but not for the pan to boil dry ) .
3. Halve any larger broccoli stems , lengthways , so they're
roughly all the same thickness . Peel , halve and thinly slice the
onion . Peel and finely chop , or grate , the garlic and ginger .
4. Once the rice is tender , stir in 2 the toasted sesame oil
( 1/2 tbsp ) and cover with a lid . Set aside and leave it to steam ,
while you continue .
5. Gently toast the peanuts in a wok or frying pan for a couple of mins , until they start to colour . Transfer them to your board and roughly chop .
6. Heat 2 tbsp of oil in the same pan until smoking hot . Stir - fry the chestnut mushrooms and broccoli for 2 mins .
7. Add the shiitake mushrooms , onion , garlic and ginger , with a splash more oil . Stir - fry for approx 1-2 mins , until the shiitake are just soft but the broccoli still has a little bite . Stir in the teriyaki , sesame seeds and 3/4 of the peanuts .
8. Taste the rice and fluff up with a fork . Add more sesame oil , to taste , and season to your liking . Serve the rice and mushrooms garnished with remaining peanuts .","Ingredients
200g chestnut mushrooms
150g shiitake mushrooms
150g white basmati rice
200g tenderstem broccoli
1 red onion
1 garlic clove
25g ginger
1 tbsp toasted sesame oil
30g peanuts
50ml teriyaki sauce
1 tbsp sesame seeds"
IMG_1263.JPG,Mushroom & Garden Pea Tikka Masala,"1. Peel and finely dice the onion . Heat 2 tbsp of oil in a large saucepan . Gently fry the onion for 10 mins , stirring often . Add a splash of water if it looks like catching .
2. Meanwhile , slice the mushrooms , not too thinly , approx . 1cm . Scrub the potatoes clean ( no need to peel them ) . Chop into 2-3cm chunks . Peel and finely chop the garlic . Fill a medium saucepan with water . Bring to a boil .
3. Add the mushrooms and potato to the onion . Increase the heat slightly and fry for 2 mins . Stir in the garlic , ginger and
tikka spice paste ( all or 2/3 , depending on your taste for heat ) .
4. Add the chickpeas , including the liquid in the tin , the
passata and coconut milk . Season . Bring to a low boil and
cook for 10 mins .
5. While the sauce cooks , pod the peas . Strip the summer
green leaves off their stalks . Layer up and very thinly shred the leaves . Add both to the pan of boiling water , boil for
approx 4 mins , until tender . Drain .
6 . Chop the coriander , stalks and all .
7 . Stir into the sauce , the greens , peas and 3/4 of the coriander .
Check the seasoning , add a pinch of chilli flakes if you like more heat and add a squeeze of lemon juice , all to taste .
8. Serve in bowls , sprinkled with the toasted coconut chips and remaining coriander .
1","Ingredients
1 onion
200g mushrooms
300g new potatoes
2 garlic cloves
1/2 tsp ground ginger
1 pack tikka spice paste
1 tin chickpeas
200ml passata
1 tin coconut milk
300g garden peas
150g summer greens
15g coriander
1/4 tsp chilli flakes
1 lemon
20g toasted coconut chips"
IMG_1264.JPG,Mushroom Paella with Smoky Chickpeas,"1. Preheat your oven to 200 ° C / Gas 6. Peel and dice the onion . Peel and finely chop the garlic . Deseed and thinly slice the peppers . Thinly slice the mushrooms . Dice the tomatoes . Pick off and roughly chop 1 good tbsp of oregano leaves .
2. Heat 2 tbsp of oil in the same pan ( if the sugar left is a little burnt , give it a quick wash first ) . Gently fry the onion on a low heat for 8 mins ; stir now and then while you continue ; add a
splash of water if it looks like catching .
3. Rinse the rice in a sieve . Drain the chickpeas into a colander , rinse under cold water , pat dry with kitchen paper or a clean
tea towel , and leave to air dry for 5 mins .
4. Toss the dried chickpeas on a baking tray in oil to coat .
Season with salt . Roast for 30 mins , until crispy on the outside .
Toss every 10 mins so they roast evenly . Some may pop a bit !
5. Meanwhile , add the garlic , mushrooms and pepper to the
onion . Stir . Add the rice , tomatoes , oregano , paella spice
pot , paprika , turmeric and just 1 tsp of smoked paprika .
6. Pour in 600ml of water . Season . Boil for 25-30 mins , adding
more water as needed . Stir occasionally , until the rice is tender
with a little bite .
7. While the paella cooks , chop the parsley . Put the almonds on a baking tray . Bake for 2-4 mins ( keep an eye on ) , until golden .
8. Toss the cooked chickpeas in the remaining smoked paprika ( use a little less if you prefer a milder flavour ) . Season .
9. Serve the paella , sprinkled with the chickpeas , almonds and parsley , with lemon wedges for squeezing . You can add a few extra oregano leaves too if you like , for an aromatic flourish !","Ingredients
1 onion
2 garlic cloves
1 red pepper
1 yellow pepper
200g mushrooms
4 tomatoes
15g oregano
150g arborio rice
I tin chickpeas
1 paella spice pot
1 tsp paprika
¹ / 4 tsp turmeric
2 x 1 tsp smoked paprika
15g parsley
20g flaked almonds
1 lemon"
IMG_1262.JPG,Thai Shiitake Stir - fry,"1. Rinse the rice in a sieve . Transfer to a medium saucepan . Add
the coconut milk . Refill the tin with water ; add that . Add a good pinch of salt . Bring to a boil then cover with a lid , reduce
the heat and simmer for 20-25 mins , stirring now and then ,
until the rice is cooked but still has a little bite .
2. Meanwhile , peel and finely slice the onion . Halve the
mushrooms or cut into quarters , if large .
3. Peel the carrots , then trim and cut into thin discs , on a
diagonal . Remove the woody outer layer of the lemongrass ;
using just the thick bottom , finely slice it .
4. Trim the flat beans , then finely slice ( 1/2 cm ) , at an angle .
Roughly chop the coriander , stalks and all : Snip or chop 1
tbsp of garlic chives .
5. In a large frying pan , gently toast the pumpkin seeds for
approx . 2 mins until they darken slightly . Transfer to a plate .
6. Heat 1 tbsp of oil in the same pan . Stir fry the onion , carrots and beans for 3-4 mins . Add the mushrooms
and lemongrass . Stir - fry for a further 2 mins , until the
mushrooms are just tender .
7. Add a good squeeze of lime juice , 1/2 the tamari to begin with , adding more to taste , and the chilli flakes ( to taste ) .
Season , adding little or no salt as the tamari is salty .
8. Drain the rice and mix it through the veg stir - fry . Serve , sprinkled with pumpkin seeds , coriander and garlic chives .","Ingredients
100g brown basmati rice
200ml coconut milk
1 onion
150g shiitake mushrooms
1 large or 2 small carrots
1 lemongrass
125g flat beans
15g coriander
15g garlic chives
2 tbsp pumpkin seeds
1 lime
2 tbsp tamari
1/4 tsp chilli flakes - optional ,
add to taste"
